id,car_id,request_status,request_date
175,175,Ремонтируется,2024-07-09
176,176,Готов к выдаче,2024-08-30
177,177,Получен клиентом,2024-07-21
178,178,Ремонтируется,2024-04-30
179,179,Готов к выдаче,2024-08-27
180,180,В очереди,2024-08-29
181,181,Ремонтируется,2024-07-25
182,182,Готов к выдаче,2024-07-06
183,183,Готов к выдаче,2024-07-27
184,184,Готов к выдаче,2024-06-12
185,185,Получен клиентом,2024-07-31
186,186,Получен клиентом,2024-08-09
187,187,Получен клиентом,2024-08-28
188,188,Готов к выдаче,2024-07-10
189,189,Получен клиентом,2024-08-26
190,190,Ремонтируется,2024-06-25
191,191,Ремонтируется,2024-06-23
192,192,Ремонтируется,2024-08-31
193,193,Готов к выдаче,2024-09-09
194,194,Готов к выдаче,2024-06-10
195,195,Готов к выдаче,2024-08-20
196,196,В очереди,2024-08-12
197,197,Получен клиентом,2024-08-31
198,198,В очереди,2024-05-25
199,199,Готов к выдаче,2024-04-29
200,200,Получен клиентом,2024-05-02
201,201,Готов к выдаче,2024-07-02
202,202,Готов к выдаче,2024-05-27
203,203,Ремонтируется,2024-06-28
204,204,В очереди,2024-05-17
205,205,В очереди,2024-09-08
206,206,Ремонтируется,2024-07-20
207,207,Ремонтируется,2024-07-15
208,208,Ремонтируется,2024-07-01
209,209,В очереди,2024-06-11
210,210,Ремонтируется,2024-09-03
211,211,Ремонтируется,2024-09-08
212,212,В очереди,2024-07-30
213,213,Ремонтируется,2024-09-13
214,214,Получен клиентом,2024-05-14
215,215,В очереди,2024-07-04
216,216,В очереди,2024-08-03
217,217,В очереди,2024-07-22
218,218,Ремонтируется,2024-05-23
219,219,Ремонтируется,2024-07-18
220,220,Готов к выдаче,2024-09-16
221,221,В очереди,2024-07-13
222,222,Получен клиентом,2024-06-04
223,223,Ремонтируется,2024-06-09
224,224,Получен клиентом,2024-07-04
225,225,В очереди,2024-08-04
226,226,Получен клиентом,2024-07-20
227,227,Готов к выдаче,2024-05-19
228,228,Готов к выдаче,2024-06-09
229,229,В очереди,2024-04-27
230,230,Готов к выдаче,2024-06-07
231,231,Получен клиентом,2024-05-21
232,232,В очереди,2024-08-25
233,233,Получен клиентом,2024-06-12
234,234,Готов к выдаче,2024-08-26
235,235,Ремонтируется,2024-09-08
236,236,Готов к выдаче,2024-05-12
237,237,Готов к выдаче,2024-05-01
238,238,Ремонтируется,2024-05-29
239,239,В очереди,2024-08-13
240,240,Получен клиентом,2024-06-07
241,241,Получен клиентом,2024-04-23
242,242,Готов к выдаче,2024-08-03
243,243,Получен клиентом,2024-04-22
244,244,Ремонтируется,2024-07-05
245,245,Получен клиентом,2024-06-01
246,246,В очереди,2024-05-05
247,247,В очереди,2024-07-20
248,248,Готов к выдаче,2024-05-22
249,249,Получен клиентом,2024-09-02
250,250,Ремонтируется,2024-09-02
251,251,Готов к выдаче,2024-05-04
252,252,Готов к выдаче,2024-07-07
253,253,Готов к выдаче,2024-06-01
254,254,Готов к выдаче,2024-08-07
255,255,Ремонтируется,2024-06-27
256,256,Получен клиентом,2024-08-28
257,257,Получен клиентом,2024-08-20
258,258,В очереди,2024-07-07
259,259,Ремонтируется,2024-06-07
260,260,Получен клиентом,2024-06-02
261,261,Готов к выдаче,2024-08-25
262,262,В очереди,2024-04-30
263,263,Получен клиентом,2024-07-09
264,264,Получен клиентом,2024-06-11
265,265,Готов к выдаче,2024-08-04
266,266,Получен клиентом,2024-09-20
267,267,Ремонтируется,2024-05-23
268,268,Готов к выдаче,2024-05-14
269,269,В очереди,2024-04-23
270,270,Ремонтируется,2024-07-09
271,271,Ремонтируется,2024-07-24
272,272,В очереди,2024-08-28
273,273,Ремонтируется,2024-05-10
274,274,Готов к выдаче,2024-04-29
275,275,Ремонтируется,2024-09-05
276,276,Получен клиентом,2024-04-22
277,277,Готов к выдаче,2024-07-29
278,278,Получен клиентом,2024-09-07
279,279,Готов к выдаче,2024-05-12
280,280,Ремонтируется,2024-05-06
281,281,Ремонтируется,2024-08-23
282,282,В очереди,2024-07-08
283,283,Ремонтируется,2024-07-25
284,284,Ремонтируется,2024-05-10
285,285,Готов к выдаче,2024-08-03
286,286,В очереди,2024-05-26
287,287,Получен клиентом,2024-07-26
288,288,Готов к выдаче,2024-07-03
289,289,Готов к выдаче,2024-07-26
290,290,В очереди,2024-07-22
291,291,В очереди,2024-06-27
292,292,В очереди,2024-09-02
293,293,Получен клиентом,2024-08-31
294,294,Получен клиентом,2024-09-18
295,295,Готов к выдаче,2024-05-07
296,296,Получен клиентом,2024-05-17
297,297,Ремонтируется,2024-08-31
298,298,В очереди,2024-07-23
299,299,Готов к выдаче,2024-06-11
300,300,Готов к выдаче,2024-08-21
301,301,В очереди,2024-07-19
302,302,Готов к выдаче,2024-08-01
303,303,Готов к выдаче,2024-09-14
304,304,Получен клиентом,2024-05-10
305,305,В очереди,2024-08-12
306,306,Получен клиентом,2024-07-26
307,307,Ремонтируется,2024-06-26
308,308,В очереди,2024-05-11
309,309,Ремонтируется,2024-06-27
310,310,Ремонтируется,2024-06-18
311,311,Готов к выдаче,2024-08-08
312,312,Готов к выдаче,2024-05-08
313,313,Получен клиентом,2024-08-05
314,314,В очереди,2024-09-06
315,315,Готов к выдаче,2024-09-09
316,316,Получен клиентом,2024-08-16
317,317,Ремонтируется,2024-09-19
318,318,Получен клиентом,2024-05-06
319,319,В очереди,2024-09-15
320,320,Готов к выдаче,2024-07-10
321,321,В очереди,2024-07-11
322,322,Получен клиентом,2024-06-13
323,323,В очереди,2024-07-27
324,324,Готов к выдаче,2024-06-22
325,325,Получен клиентом,2024-09-04
326,326,Ремонтируется,2024-06-17
327,327,Готов к выдаче,2024-05-28
328,328,Получен клиентом,2024-05-08
329,329,В очереди,2024-07-14
330,330,Ремонтируется,2024-06-21
331,331,Ремонтируется,2024-08-30
332,332,Готов к выдаче,2024-09-18
333,333,Готов к выдаче,2024-07-23
334,334,Получен клиентом,2024-09-03
335,335,Ремонтируется,2024-07-08
336,336,Получен клиентом,2024-07-09
337,337,В очереди,2024-08-10
338,338,Получен клиентом,2024-07-28
339,339,В очереди,2024-04-29
340,340,Получен клиентом,2024-09-04
341,341,Готов к выдаче,2024-06-17
342,342,Ремонтируется,2024-08-20
343,343,Ремонтируется,2024-06-01
344,344,Ремонтируется,2024-05-20
345,345,Получен клиентом,2024-07-22
346,346,Готов к выдаче,2024-07-05
347,347,Получен клиентом,2024-08-23
348,348,Ремонтируется,2024-05-01
349,349,Получен клиентом,2024-07-18
350,350,Готов к выдаче,2024-06-23
351,351,Ремонтируется,2024-06-13
352,352,В очереди,2024-08-31
353,353,Получен клиентом,2024-05-15
354,354,Ремонтируется,2024-08-10
355,355,В очереди,2024-05-02
356,356,Готов к выдаче,2024-08-21
357,357,В очереди,2024-09-04
358,358,Получен клиентом,2024-07-22
359,359,Готов к выдаче,2024-04-30
360,360,Готов к выдаче,2024-04-30
361,361,Ремонтируется,2024-09-14
362,362,Получен клиентом,2024-08-05
363,363,Получен клиентом,2024-04-26
364,364,Получен клиентом,2024-06-26
365,365,Получен клиентом,2024-07-08
366,366,В очереди,2024-06-04
367,367,Готов к выдаче,2024-05-07
368,368,В очереди,2024-05-17
369,369,В очереди,2024-06-28
370,370,Ремонтируется,2024-06-17
371,371,Ремонтируется,2024-05-20
372,372,Готов к выдаче,2024-08-26
373,373,Ремонтируется,2024-09-07
374,374,Ремонтируется,2024-09-12
375,375,В очереди,2024-07-20
376,376,Готов к выдаче,2024-08-11
377,377,Ремонтируется,2024-06-24
378,378,В очереди,2024-06-05
379,379,В очереди,2024-07-21
380,380,В очереди,2024-06-29
381,381,Получен клиентом,2024-08-05
382,382,Получен клиентом,2024-05-18
383,383,Получен клиентом,2024-05-18
384,384,В очереди,2024-07-12
385,385,Получен клиентом,2024-05-04
386,386,Ремонтируется,2024-06-09
387,387,Ремонтируется,2024-07-22
388,388,В очереди,2024-07-07
389,389,В очереди,2024-08-14
390,390,Ремонтируется,2024-07-11
391,391,Ремонтируется,2024-09-16
392,392,Получен клиентом,2024-06-16
393,393,Получен клиентом,2024-07-16
394,394,Получен клиентом,2024-05-08
395,395,Получен клиентом,2024-07-12
396,396,Ремонтируется,2024-07-06
397,397,Получен клиентом,2024-08-02
398,398,Получен клиентом,2024-08-02
399,399,Получен клиентом,2024-06-04
400,400,Готов к выдаче,2024-09-08
401,401,Готов к выдаче,2024-05-07
402,402,Ремонтируется,2024-09-02
403,403,Ремонтируется,2024-08-29
404,404,Получен клиентом,2024-08-27
405,405,Ремонтируется,2024-08-06
406,406,Готов к выдаче,2024-08-18
407,407,В очереди,2024-07-25
408,408,Ремонтируется,2024-09-05
409,409,Ремонтируется,2024-05-28
410,410,В очереди,2024-06-25
411,411,Готов к выдаче,2024-05-21
412,412,Ремонтируется,2024-08-21
413,413,Получен клиентом,2024-05-21
414,414,Получен клиентом,2024-07-19
415,415,Готов к выдаче,2024-07-21
416,416,Ремонтируется,2024-08-04
417,417,В очереди,2024-08-06
418,418,В очереди,2024-08-11
419,419,Готов к выдаче,2024-09-19
420,420,Готов к выдаче,2024-08-11
421,421,Ремонтируется,2024-08-26
422,422,Ремонтируется,2024-09-12
423,423,Готов к выдаче,2024-05-20
424,424,Ремонтируется,2024-08-29
425,425,Готов к выдаче,2024-07-05
426,426,Готов к выдаче,2024-05-09
427,427,Готов к выдаче,2024-05-17
428,428,Получен клиентом,2024-05-18
429,429,Ремонтируется,2024-06-09
430,430,В очереди,2024-04-22
431,431,Ремонтируется,2024-07-25
432,432,В очереди,2024-04-23
433,433,Ремонтируется,2024-09-06
434,434,Готов к выдаче,2024-09-01
435,435,Ремонтируется,2024-07-08
436,436,Получен клиентом,2024-09-01
437,437,Готов к выдаче,2024-07-30
438,438,Готов к выдаче,2024-08-23
439,439,Готов к выдаче,2024-04-27
440,440,Получен клиентом,2024-07-02
441,441,Получен клиентом,2024-08-31
442,442,Получен клиентом,2024-05-28
443,443,В очереди,2024-08-25
444,444,В очереди,2024-07-28
445,445,Готов к выдаче,2024-08-09
446,446,Ремонтируется,2024-07-14
447,447,В очереди,2024-05-15
448,448,Готов к выдаче,2024-05-01
449,449,Ремонтируется,2024-09-01
450,450,В очереди,2024-08-03
451,451,В очереди,2024-08-30
452,452,В очереди,2024-05-13
453,453,Ремонтируется,2024-07-03
454,454,Готов к выдаче,2024-08-23
455,455,Готов к выдаче,2024-09-17
456,456,Ремонтируется,2024-09-10
457,457,Ремонтируется,2024-06-10
458,458,В очереди,2024-07-26
459,459,Ремонтируется,2024-07-11
460,460,Ремонтируется,2024-06-11
461,461,В очереди,2024-07-08
462,462,Получен клиентом,2024-07-01
463,463,В очереди,2024-05-01
464,464,В очереди,2024-08-20
465,465,Получен клиентом,2024-06-18
466,466,Ремонтируется,2024-07-08
467,467,В очереди,2024-08-24
468,468,Готов к выдаче,2024-09-14
469,469,Готов к выдаче,2024-07-20
470,470,Ремонтируется,2024-07-10
471,471,Готов к выдаче,2024-04-30
472,472,Готов к выдаче,2024-06-10
473,473,Ремонтируется,2024-07-28
474,474,Готов к выдаче,2024-07-12
475,475,Ремонтируется,2024-09-11
476,476,Готов к выдаче,2024-07-10
477,477,Ремонтируется,2024-04-23
478,478,Получен клиентом,2024-06-02
479,479,Ремонтируется,2024-07-03
480,480,Готов к выдаче,2024-06-09
481,481,В очереди,2024-08-13
482,482,Готов к выдаче,2024-05-17
483,483,В очереди,2024-06-04
484,484,Получен клиентом,2024-08-11
485,485,Ремонтируется,2024-07-30
486,486,Ремонтируется,2024-04-26
487,487,Получен клиентом,2024-07-02
488,488,Получен клиентом,2024-07-26
489,489,В очереди,2024-07-04
490,490,Получен клиентом,2024-08-06
491,491,Готов к выдаче,2024-07-06
492,492,Готов к выдаче,2024-05-06
493,493,Получен клиентом,2024-07-15
494,494,Готов к выдаче,2024-05-28
495,495,Ремонтируется,2024-05-20
496,496,Готов к выдаче,2024-06-27
497,497,В очереди,2024-04-22
498,498,В очереди,2024-06-12
499,499,Готов к выдаче,2024-08-23
500,500,В очереди,2024-07-11
501,501,В очереди,2024-07-26
502,502,Получен клиентом,2024-07-14
503,503,Получен клиентом,2024-09-15
504,504,Готов к выдаче,2024-06-17
505,505,Ремонтируется,2024-05-02
506,506,В очереди,2024-05-19
507,507,В очереди,2024-05-18
508,508,Получен клиентом,2024-05-02
509,509,Готов к выдаче,2024-06-10
510,510,Готов к выдаче,2024-05-09
511,511,Ремонтируется,2024-05-30
512,512,Получен клиентом,2024-07-21
513,513,Получен клиентом,2024-04-24
514,514,В очереди,2024-05-23
515,515,В очереди,2024-07-13
516,516,В очереди,2024-07-04
517,517,Получен клиентом,2024-06-03
518,518,Ремонтируется,2024-09-08
519,519,В очереди,2024-06-12
520,520,Получен клиентом,2024-06-07
521,521,Ремонтируется,2024-05-26
522,522,Готов к выдаче,2024-07-09
523,523,Готов к выдаче,2024-05-08
524,524,Получен клиентом,2024-07-06
525,525,В очереди,2024-06-25
526,526,Ремонтируется,2024-09-05
527,527,Получен клиентом,2024-08-28
528,528,Получен клиентом,2024-08-31
529,529,Ремонтируется,2024-07-12
530,530,Готов к выдаче,2024-09-09
531,531,Готов к выдаче,2024-06-17
532,532,Ремонтируется,2024-05-24
533,533,Ремонтируется,2024-06-24
534,534,В очереди,2024-07-29
535,535,Готов к выдаче,2024-05-01
536,536,В очереди,2024-07-03
537,537,В очереди,2024-04-24
538,538,В очереди,2024-05-29
539,539,Ремонтируется,2024-05-04
540,540,В очереди,2024-06-26
541,541,В очереди,2024-07-23
542,542,Ремонтируется,2024-08-16
543,543,В очереди,2024-06-28
544,544,Получен клиентом,2024-05-09
545,545,В очереди,2024-07-02
546,546,Получен клиентом,2024-07-19
547,547,Ремонтируется,2024-07-17
548,548,Готов к выдаче,2024-06-29
549,549,Ремонтируется,2024-06-04
550,550,Готов к выдаче,2024-05-08
551,551,Получен клиентом,2024-09-19
552,552,В очереди,2024-08-31
553,553,Получен клиентом,2024-08-08
554,554,В очереди,2024-05-26
555,555,Получен клиентом,2024-07-20
556,556,Получен клиентом,2024-09-17
557,557,В очереди,2024-07-26
558,558,Получен клиентом,2024-07-26
559,559,Готов к выдаче,2024-05-24
560,560,Ремонтируется,2024-06-01
561,561,Готов к выдаче,2024-06-29
562,562,В очереди,2024-06-13
563,563,Получен клиентом,2024-08-03
564,564,Ремонтируется,2024-09-14
565,565,Готов к выдаче,2024-09-08
566,566,В очереди,2024-08-02
567,567,Готов к выдаче,2024-06-02
568,568,Ремонтируется,2024-08-05
569,569,В очереди,2024-08-30
570,570,Готов к выдаче,2024-06-26
571,571,Получен клиентом,2024-07-01
572,572,В очереди,2024-09-16
573,573,Ремонтируется,2024-07-05
574,574,Готов к выдаче,2024-07-22
575,575,Ремонтируется,2024-05-22
576,576,Готов к выдаче,2024-04-29
577,577,Готов к выдаче,2024-05-25
578,578,Готов к выдаче,2024-05-02
579,579,Получен клиентом,2024-09-11
580,580,Готов к выдаче,2024-06-18
581,581,В очереди,2024-09-08
582,582,Готов к выдаче,2024-07-11
583,583,Ремонтируется,2024-06-06
584,584,Ремонтируется,2024-07-24
585,585,В очереди,2024-05-04
586,586,В очереди,2024-04-25
587,587,Получен клиентом,2024-09-15
588,588,Готов к выдаче,2024-06-30
589,589,В очереди,2024-07-16
590,590,В очереди,2024-07-18
591,591,Готов к выдаче,2024-08-12
592,592,В очереди,2024-05-19
593,593,Получен клиентом,2024-07-06
594,594,Ремонтируется,2024-06-21
595,595,Ремонтируется,2024-09-05
596,596,Получен клиентом,2024-06-23
597,597,Готов к выдаче,2024-08-21
598,598,Ремонтируется,2024-06-24
599,599,Ремонтируется,2024-04-24
600,600,В очереди,2024-07-30
601,601,В очереди,2024-05-22
602,602,Получен клиентом,2024-06-05
603,603,Готов к выдаче,2024-07-18
604,604,Получен клиентом,2024-07-29
605,605,Ремонтируется,2024-06-22
606,606,В очереди,2024-06-14
607,607,Готов к выдаче,2024-09-01
608,608,В очереди,2024-08-07
609,609,Ремонтируется,2024-09-10
610,610,Получен клиентом,2024-06-18
611,611,Готов к выдаче,2024-07-15
612,612,В очереди,2024-06-20
613,613,Ремонтируется,2024-05-02
614,614,В очереди,2024-05-11
615,615,Ремонтируется,2024-05-16
616,616,В очереди,2024-07-20
617,617,Получен клиентом,2024-05-12
618,618,Ремонтируется,2024-08-15
619,619,Ремонтируется,2024-07-27
620,620,Получен клиентом,2024-05-08
621,621,Получен клиентом,2024-06-03
622,622,Ремонтируется,2024-07-19
623,623,В очереди,2024-06-02
624,624,Готов к выдаче,2024-07-08
625,625,В очереди,2024-06-22
626,626,Готов к выдаче,2024-05-19
627,627,Получен клиентом,2024-09-12
628,628,Готов к выдаче,2024-09-15
629,629,В очереди,2024-07-07
630,630,В очереди,2024-09-18
631,631,Готов к выдаче,2024-06-08
632,632,Ремонтируется,2024-06-13
633,633,Готов к выдаче,2024-08-29
634,634,Получен клиентом,2024-07-31
635,635,Готов к выдаче,2024-05-22
636,636,Получен клиентом,2024-08-07
637,637,Получен клиентом,2024-06-20
638,638,В очереди,2024-07-26
639,639,Готов к выдаче,2024-08-14
640,640,Получен клиентом,2024-06-02
641,641,Готов к выдаче,2024-08-11
642,642,Получен клиентом,2024-04-30
643,643,Ремонтируется,2024-06-11
644,644,В очереди,2024-08-26
645,645,В очереди,2024-05-28
646,646,В очереди,2024-06-16
647,647,Готов к выдаче,2024-09-18
648,648,Готов к выдаче,2024-07-10
649,649,Ремонтируется,2024-06-15
650,650,Ремонтируется,2024-05-01
651,651,Получен клиентом,2024-05-26
652,652,Ремонтируется,2024-09-08
653,653,Готов к выдаче,2024-07-31
654,654,Получен клиентом,2024-08-28
655,655,Получен клиентом,2024-05-30
656,656,Ремонтируется,2024-05-01
657,657,Ремонтируется,2024-07-01
658,658,Получен клиентом,2024-09-07
659,659,Готов к выдаче,2024-05-04
660,660,Готов к выдаче,2024-09-13
661,661,Ремонтируется,2024-06-16
662,662,Получен клиентом,2024-06-19
663,663,Готов к выдаче,2024-06-27
664,664,Получен клиентом,2024-09-12
665,665,Получен клиентом,2024-08-05
666,666,Получен клиентом,2024-09-19
667,667,Готов к выдаче,2024-05-29
668,668,Ремонтируется,2024-07-11
669,669,В очереди,2024-07-17
670,670,В очереди,2024-07-08
671,671,Ремонтируется,2024-05-28
672,672,В очереди,2024-08-02
673,673,Готов к выдаче,2024-06-13
674,674,Готов к выдаче,2024-07-31
675,675,В очереди,2024-08-13
676,676,Ремонтируется,2024-04-29
677,677,Ремонтируется,2024-08-10
678,678,Готов к выдаче,2024-05-30
679,679,Готов к выдаче,2024-06-12
680,680,Готов к выдаче,2024-07-28
681,681,Ремонтируется,2024-05-28
682,682,Ремонтируется,2024-05-17
683,683,Ремонтируется,2024-08-05
684,684,Готов к выдаче,2024-09-03
685,685,Получен клиентом,2024-06-28
686,686,Готов к выдаче,2024-09-20
687,687,В очереди,2024-05-13
688,688,Получен клиентом,2024-08-29
689,689,Готов к выдаче,2024-05-21
690,690,Ремонтируется,2024-07-28
691,691,Получен клиентом,2024-06-04
692,692,Готов к выдаче,2024-09-15
693,693,Готов к выдаче,2024-07-30
694,694,Ремонтируется,2024-08-07
695,695,Ремонтируется,2024-06-16
696,696,Ремонтируется,2024-04-25
697,697,В очереди,2024-07-24
698,698,Получен клиентом,2024-05-07
699,699,Готов к выдаче,2024-09-16
700,700,В очереди,2024-05-07
701,701,В очереди,2024-05-10
702,702,Получен клиентом,2024-08-01
703,703,Готов к выдаче,2024-08-28
704,704,Получен клиентом,2024-07-23
705,705,Готов к выдаче,2024-08-24
706,706,Получен клиентом,2024-08-21
707,707,Готов к выдаче,2024-09-07
708,708,В очереди,2024-06-05
709,709,Ремонтируется,2024-08-26
710,710,В очереди,2024-05-18
711,711,В очереди,2024-08-16
712,712,В очереди,2024-09-07
713,713,В очереди,2024-05-13
714,714,Готов к выдаче,2024-07-02
715,715,Ремонтируется,2024-09-12
716,716,В очереди,2024-04-24
717,717,Получен клиентом,2024-07-21
718,718,В очереди,2024-07-10
719,719,В очереди,2024-06-12
720,720,Ремонтируется,2024-05-12
721,721,Получен клиентом,2024-06-03
722,722,Готов к выдаче,2024-08-20
723,723,Готов к выдаче,2024-06-14
724,724,Готов к выдаче,2024-06-13
725,725,Ремонтируется,2024-07-14
726,726,Готов к выдаче,2024-05-31
727,727,Готов к выдаче,2024-08-21
728,728,В очереди,2024-07-01
729,729,Получен клиентом,2024-05-13
730,730,Получен клиентом,2024-04-29
731,731,В очереди,2024-08-28
732,732,Получен клиентом,2024-05-28
733,733,Готов к выдаче,2024-05-04
734,734,Готов к выдаче,2024-09-03
735,735,Готов к выдаче,2024-08-09
736,736,Получен клиентом,2024-06-04
737,737,В очереди,2024-08-28
738,738,В очереди,2024-06-16
739,739,Получен клиентом,2024-06-26
740,740,Готов к выдаче,2024-08-11
741,741,Ремонтируется,2024-04-28
742,742,Готов к выдаче,2024-05-08
743,743,Готов к выдаче,2024-07-23
744,744,Готов к выдаче,2024-08-01
745,745,В очереди,2024-06-09
746,746,Получен клиентом,2024-05-15
747,747,Готов к выдаче,2024-05-09
748,748,Получен клиентом,2024-08-08
749,749,Готов к выдаче,2024-07-01
750,750,Готов к выдаче,2024-08-01
751,751,Получен клиентом,2024-08-12
752,752,Получен клиентом,2024-05-04
753,753,Готов к выдаче,2024-06-26
754,754,Готов к выдаче,2024-05-22
